ID	n_EXONs	NOTES
accD		
apt		
atpB		
atpE		
atpF	2	
apt		
atpI		
ccsA		
cemA		(alternative start codon: gtg)
clpP	3	(loses introns in some lineages)
infA		
matK		
ndhA	2	
ndhB	2	
ndhC		
ndhD		(alternative start codon: acg)
ndhE		
ndhF		
ndhG		
ndhH		
ndhI		
ndhJ		
ndhK		(old alias psbg)
petA		
petB	2?	(micro(8bp) first exon?)
petD	2?	(micro(8bp) first exon?)
petG		
petL		
petN		
psaA		
psaB		
psaC		
psaI		
psaJ		
psbA		
pubs		
psbC		
psbD		
psbE		
psbF		
psbH		
psbI		
psbJ		
psbK		
psbL		
psbM		
SBN		
psbT		
psbZ/lhbA		
rbcL		
rpl2	2	
rpl14		
rpl16		
rpl20		
rpl22		
rpl23		
rpl32		
rpl33		
rpl36		
rpoA		
rpoB		
rpoC1	2	
rpoC2		
rps2		
rps3		
rps4		
rps7		
rps8		
rps11		
rps12_exon1		
rps12_exon2		
rps14		
rps15		
rps16	2	(micro exon)
rps18		
rps19		(alternative start codon: gtg)
ycf1		(dogma may have trouble with this)
ycf2		(dogma may have trouble with this)
ycf3	3	
ycf4		
