Start End GeneName Strand
69 143 trnH-GUG -
527 1585 psbA - 
2115 3632 matK -
4367 4403 trnK-UUU -
5192 5404 rps16 -
7230 7301 trnQ-UUG -
7661 7837 psbK +
8221 8352 psbI +
8496 8583 trnS-GCU -
9376 9456 trnC-GCA +
9979 10071 petN +
10583 10684 psbM -
11331 11404 trnD-GUC -
11518 11601 trnY-GUA -
13582 16773 rpoB +
16791 17249 rpoC1 +
17951 19561 rpoC1 +
19708 23847 rpoC2 +
24096 24803 rps2 +
25022 25762 atpI + 
26908 27150 atpH +
27519 27677 atpF +
28310 28777 atpF +
28845 30365 atpA +
30501 30572 trnR-UCU -
31773 31844 trnT-GGU +
33020 34078 psbD +
33990 35447 psbC +
35685 35767 trnS-UGA -
36105 36290 lhbA +
36608 36678 trnG-UCC +
36865 36938 trnfM-CAU -
37096 37395 rps14 -
37532 39733 psaB -
39762 42011 psaA -
42755 42904 ycf3 -
43647 43874 ycf3 - 
44567 44692 ycf3 -
45591 45677 trnS-GGA +
45992 46594 rps4 -
46947 47019 trnT-UGU -
47560 47596 trnL-UAA +
48037 48086 trnL-UAA +
48455 48524 trnF-GAA +
49004 49477 ndhJ -
49584 50429 ndhK -
50312 50671 ndhC -
51825 51861 trnV-UAC -
52436 52473 trnV-UAC -
52634 52706 trnM-CAU +
52927 53325 atpE -
53325 54800 atpB -
55598 57022 rbcL +
57534 59042 accD +
59719 59826 psaI +
60236 60787 ycf4 +
61639 62325 cemA +
62561 63520 petA +
64338 64457 psbJ -
64609 64722 psbL -
64748 64864 psbF -
64877 65125 psbE -
66417 66509 petL +
66675 66785 petG +
66906 66979 trnW-CCA -
67144 67217 trnP-UGG -
67146 67216 trnP-GGG -
67525 67656 psaJ +
68098 68295 rpl33 +
68478 68780 rps18 +
69035 69409 rpl20 -
70155 70268 rps12 -
70427 70651 clpP -
71268 71558 clpP -
72365 72433 clpP -
72883 74406 psi_psbT +
74584 74697 psbT +
74771 74899 psbN -
75002 75220 psbH +
76113 76763 petB +
77610 78152 petD +
78350 79354 rpoA -
79438 79845 rps11 -
79954 80064 rpl36 -
80183 80413 infA -
80538 80939 rps8 -
81122 81487 rpl14 -
81610 82005 rpl16 -
83181 83843 rps3 -
83831 84301 rpl22 -
84371 84646 rps19 -
84704 85135 rpl2 -
85800 86192 rpl2 -
86214 86492 rpl23 -
86658 86731 trnI-CAU -
86843 89329 ycf2 +
89313 93677 ycf2 +
94137 94217 trnL-CAA -
94798 95550 ndhB -
96217 96993 ndhB -
97286 97750 rps7 -
98345 98596 rps12_3end -
98357 98596 rps12 -
99577 99765 ycf15 -
100456 100527 trnV-GAC +
100755 102244 rrn16 +
102539 102581 trnI-GAU +
103519 103553 trnI-GAU +
103618 103655 trnA-UGC +
103788 103922 orf42 -
104124 104237 orf56 -
104222 104287 orf56 -
104495 104529 trnA-UGC +
104682 107490 rrn23 +
107590 107692 rrn4.5 +
107938 108058 rrn5 +
108310 108383 trnR-ACG +
108849 108921 trnN-GUU -
109254 109835 ycf1 +
109853 112069 ndhF -
113102 113251 rpl32 +
114082 114161 trnL-UAG +
114306 115259 ccsA +
115518 117017 ndhD -
117139 117381 psaC -
117621 117923 ndhE -
118144 118671 ndhG -
119035 119529 ndhI -
119611 120147 ndhA -
121196 121759 orf188 -
121208 121759 ndhA -
121764 122942 ndhH -
123037 123315 rps15 -
